itemNumber	string	score	depth	hierarchy
75598361	aardkorst	7	3	natuurwetenschappen
75606593	fysiologie	7	1	fysiologie
75602040	brandstoffen	7	2	energie
141004967	procesindustrie	7	3	economie
88165566	vietnam	7	1	vietnam
07567842x	endoscopie	7	3	geneeskunde
75601931	bouwmaterialen	7	2	materialenkennis
07565668x	agrarische sociologie	7	3	sociale wetenschappen
75620251	recycling	7	4	economie
09004147x	risicobeheer	7	2	management
75656612	aërodynamica	7	3	gassen@@
07568893x	economische geografie	7	2	geografie
75665883	zuurstof	7	1	zuurstof
75598787	akoestiek	7	3	natuurkunde
89481925	burkina faso	7	1	burkina faso
07566562x	zaad (landbouw)	7	4	economie
75628899	afrika	7	1	afrika
75612968	landbouwbeleid	7	2	overheidsbeleid
75659921	incontinentie	6	2	ziekteleer
122338634	virtual reality	6	1	virtual reality
75648636	psycholinguïstiek	6	2	taalwetenschap
292322593	artrose	6	3	ziekteleer
190748389	lupus erythematodes	6	3	ziekteleer
291944671	psychofarmaca	6	3	farmacie
75599589	arbeidsrecht	6	2	recht
75625342	vennootschappen	6	2	recht
242732836	luminescentie	6	3	chemie
216389194	containervervoer	6	3	vervoer
370853911	orthopedische chirurgie	6	2	orthopedie
236130854	septikemie	6	2	ziekteleer
24391041x	ziekenhuisinfecties	6	3	ziekteleer
75674408	neutronenradiografie	6	1	neutronenradiografie
75653451	chromatografie	6	3	chemie
75618478	personeelsbeleid	6	1	personeelsbeleid
75625008	universiteiten	6	1	universiteiten
75659158	functietheorie	6	2	wiskunde
75606534	fruitteelt	6	5	economie
136927971	tweetaligheid	6	2	taal
07560275x	chemie	6	1	chemie
227555309	teamwerk	6	4	sociale wetenschappen
75627558	windturbines	6	4	werktuigbouwkunde
07568859x	vermogenselektronica	6	4	techniek
19514015x	wachttijdtheorie	6	4	wiskunde
75660059	internationale organisaties	6	1	internationale organisaties
242296734	ovaria	6	2	geslachtsorganen
75607417	geriatrie	6	2	geneeskunde
75625563	verkeerskunde	6	1	verkeerskunde
75660466	koolhydraten	6	2	voedingsleer
75659581	grafentheorie	6	2	wiskunde
75605368	engelse taalkunde	6	2	taalkunde
387365257	intelligente transportsystemen	6	2	vervoer
75610221	insecten	6	4	dieren
407433503	wespen	6	5	dieren
75610116	informatievoorziening	6	1	informatievoorziening
07565881x	eerstelijnsgezondheidszorg	6	2	gezondheidszorg
75690640	vloeistoffen	6	1	vloeistoffen
75659484	gezondheidsvoorlichting	6	2	voorlichting
195152700	interstellaire materie	6	2	astronomie
75622750	staatsrecht	6	2	recht
75622688	staal	6	1	staal
205437494	manisch-depressieve stoornis	6	1	manisch-depressieve stoornis
07559904x	analytische chemie	6	2	chemie
75603586	cultuurgeschiedenis	6	2	geschiedenis
75659360	geotechnologie	6	2	technologie
75664658	veehouderij	6	4	economie
75604930	elektriciteitsleer	6	2	natuurkunde
75635496	geodesie	6	1	geodesie
